Article,Group,Number
BAGUETTE,bread,1
PAIN AU CHOCOLAT,pastry,1
PAIN,bread,1
TRADITIONAL BAGUETTE,bread,1
CROISSANT,pastry,1
BANETTE,pastry,1
BANETTINE,pastry,0.5
SPECIAL BREAD,bread,2
COUPE,packaging,1
SAND JB EMMENTAL,sandwich,1
KOUIGN AMANN,pastry,1
BOULE 200G,bread,1
BOULE 400G,bread,2
GAL FRANGIPANE 6P,pastry,6
CAMPAGNE,bread,1
MOISSON,cake,1
CAFE OU EAU,drink,1
BRIOCHE,bread,2
CEREAL BAGUETTE,bread,1
SEIGLE,bread,1
COMPLET,pastry,1
DIVERS PATISSERIE,sweet,1
GAL FRANGIPANE 4P,pastry,4
COOKIE,sweet,1
FICELLE,bread,0.5
PAIN AUX RAISINS,pastry,1
GAL POMME 6P,pastry,6
GAL POMME 4P,pastry,4
FINANCIER X5,sweet,5
VIK BREAD,bread,2
DIVERS VIENNOISERIE,pastry,5
GACHE,cake,1
SANDWICH COMPLET,sandwich,1
PAIN BANETTE,bread,1
GRAND FAR BRETON,cake,2
QUIM BREAD,bread,1
SPECIAL BREAD KG,bread,2
GD KOUIGN AMANN,pastry,3
BOULE POLKA,bread,1
DEMI BAGUETTE,bread,0.5
CHAUSSON AUX POMMES,pastry,1
BAGUETTE GRAINE,bread,1
DIVERS CONFISERIE,sweet,5
SUCETTE,sweet,1
DIVERS BOULANGERIE,pastry,2
BOISSON 33CL,drink,1
PATES,pastry,4
FORMULE SANDWICH,sandwich,1
DIVERS SANDWICHS,sandwich,1
CROISSANT AMANDES,pastry,1
PAIN CHOCO AMANDES,pastry,1
SACHET VIENNOISERIE,pastry,5
NANTAIS,cake,1
CHOCOLAT,pastry,1
PAIN S/SEL,bread,1
FONDANT CHOCOLAT,cake,1
GAL POIRE CHOCO 6P,pastry,6
GAL POIRE CHOCO 4P,pastry,4
GALETTE 8 PERS,pastry,8
SAND JB,sandwich,1
SACHET DE CROUTON,bread,1
GRANDE SUCETTE,sweet,1
DEMI PAIN,bread,0.5
TARTELETTE,sweet,3
FLAN,cake,1
PARIS BREST,cake,1
SAVARIN,cake,1
FLAN ABRICOT,cake,1
BAGUETTE APERO,bread,1
MILLES FEUILLES,cake,1
CHOU CHANTILLY,pastry,1
ECLAIR,pastry,1
ROYAL 4P,cake,4
TARTE FRUITS 6P,cake,6
TARTE FRUITS 4P,cake,4
NOIX JAPONAISE,sweet,1
THE,drink,1
BRIOCHETTE,bread,0.5
ROYAL 6P,cake,6
ECLAIR FRAISE PISTACHE,pastry,1
.,,
GD FAR BRETON,cake,2
TRIANGLES,pastry,1
TROPEZIENNE,pastry,1
TROPEZIENNE FRAMBOISE,pastry,1
ROYAL,cake,1
TARTE FRAISE 6P,cake,6
TARTELETTE FRAISE,sweet,3
TARTE FRAISE 4PER,cake,4
FRAISIER,cake,1
NID DE POULE,pastry,1
TARTELETTE CHOC,sweet,3
PAIN DE MIE,bread,1
CRUMBLE,cake,1
FINANCIER,sweet,1
DIVERS BOISSONS,drink,1
CAKE,cake,1
VIENNOISE,bread,1
TRAITEUR,sandwich,1
PAIN GRAINES,bread,1
"PLATPREPARE6,50",prepared_plate,1
"PLATPREPARE5,50",prepared_plate,1
"PLATPREPARE7,00",prepared_plate,1
FORMULE PLAT PREPARE,prepared_plate,1
ST HONORE,cake,1
BROWNIES,sweet,2
RELIGIEUSE,pastry,1
"PLATPREPARE6,00",prepared_plate,1
DELICETROPICAL,cake,1
CRUMBLECARAMEL OU PISTAE,cake,1
PT NANTAIS,cake,1
GD NANTAIS,cake,2
DOUCEUR D HIVER,cake,1
TROIS CHOCOLAT,cake,1
ARTICLE 295,,
TARTE FINE,cake,1
ENTREMETS,cake,1
BRIOCHE DE NOEL,bread,1
FRAMBOISIER,cake,1
BUCHE 4PERS,cake,4
BUCHE 6PERS,cake,6
GD PLATEAU SALE,sandwich,4
BUCHE 8PERS,cake,8
PT PLATEAU SALE,sandwich,2
REDUCTION SUCREES 12,sweet,12
PAIN NOIR,bread,0.5
REDUCTION SUCREES 24,sweet,24
BOTTEREAU,pastry,1
MERINGUE,sweet,1
PALMIER,pastry,1
PAILLE,pastry,1
PLAT 6.50E,prepared_plate,1
PLAT 7.60E,prepared_plate,1
PLAT 7.00,prepared_plate,1
PLAT,prepared_plate,1
PLAT 8.30E,prepared_plate,1
FORMULE PATE,pastry,4
GUERANDAIS,bread,1
PALET BRETON,sweet,1
CARAMEL NOIX,sweet,1
MACARON,sweet,1
12 MACARON,sweet,12
ARMORICAIN,bread,1
PLAQUE TARTE 25P,cake,25
SABLE F  P,sweet,1
PAIN SUISSE PEPITO,pastry,1
TULIPE,pastry,1
TARTELETTE COCKTAIL,sweet,3
SACHET DE VIENNOISERIE,pastry,5
